Disease_Prognosis,Disease_Category,Key_Symptoms,Primary_Recommended_Drug,Secondary_Recommended_Drug,Efficacy_Rating_Score,Patient_Satisfaction_Pct,Review_Evidence_Count,Recommendation_Confidence_Score
Malaria,Infectious / Parasitic,"Muscle Pain, Chills, High Fever",Drug Y,Drug X,8.5,88.0,150,63.0
Migraine,Neurological,"Acidity, Indigestion, Headache",Sumatriptan,Rizatriptan,7.95,77.5,213,64.7
Osteoarthristis,Musculoskeletal,"Joint Pain, Neck Pain, Knee Pain",Drug Y,Drug X,8.5,88.0,150,63.0
Paralysis (Brain Hemorrhage),Neurological,"Vomiting, Headache, Weakness Of One Body Side",Drug Y,Drug X,8.5,88.0,150,63.0
Peptic Ulcer Disease,Gastrointestinal,"Vomiting, Indigestion, Loss Of Appetite",Drug Y,Drug X,8.5,88.0,150,63.0
Pneumonia,Respiratory / Bacterial,"Chest Pain, Rusty Sputum, Fast Heart Rate",Levofloxacin,Levaquin,5.1,43.3,67,36.0
Psoriasis,Dermatological,"Skin Rash, Joint Pain, Skin Peeling",Ustekinumab,Stelara,8.33,85.1,67,55.3
Tuberculosis,Respiratory / Bacterial,"Blood In Sputum, Chest Pain, Phlegm",Drug Y,Drug X,8.5,88.0,150,63.0
Typhoid,Infectious / Bacterial,"Chills, Fatigue, High Fever",Drug Y,Drug X,8.5,88.0,150,63.0
Urinary Tract Infection,Renal / Urological,"Burning Micturition, Bladder Discomfort, Foul Smell Of Urine",Nitrofurantoin,Sulfamethoxazole / Trimethoprim,4.82,39.9,318,54.4
Varicose Veins,Cardiovascular,"Fatigue, Cramps, Bruising",Drug Y,Drug X,8.5,88.0,150,63.0
