condition,drugName,Total_Reviews,Avg_Rating,Median_Rating,Positive_Reviews,Neutral_Reviews,Negative_Reviews,Total_Useful_Votes,Avg_Useful_Votes,Avg_Review_Word_Count,Satisfaction_Rate_Pct
Acne,Spironolactone,178,7.71,9.0,134,17,27,4473,25.1,111.5,75.3
Chronic Pain,Oxycodone,178,7.99,9.0,146,14,18,7066,39.7,76.1,82.0
Vaginal Yeast Infection,Fluconazole,177,6.97,9.0,118,19,40,5625,31.8,72.2,66.7
Underactive Thyroid,Levothyroxine,177,6.41,8.0,104,21,52,9263,52.3,77.5,58.8
Acne,Adapalene,176,7.41,9.0,130,14,32,3334,18.9,102.6,73.9
Pain,Gabapentin,176,6.48,8.0,112,18,46,10252,58.2,83.4,63.6
Influenza,Tamiflu,174,7.09,9.0,118,14,42,1727,9.9,86.1,67.8
Birth Control,Junel Fe 1 / 20,174,5.44,5.5,81,22,71,1743,10.0,92.5,46.6
Influenza,Oseltamivir,172,6.96,9.0,115,11,46,1694,9.8,87.9,66.9
Nausea/Vomiting,Ondansetron,170,7.99,10.0,135,10,25,2777,16.3,60.9,79.4
Anxiety,Ativan,169,8.27,10.0,141,10,18,9271,54.9,72.7,83.4
Panic Disorde,Alprazolam,168,9.17,10.0,157,5,6,6929,41.2,79.6,93.5
Weight Loss,Liraglutide,166,7.9,9.0,126,24,16,2991,18.0,95.3,75.9
Bipolar Disorde,Aripiprazole,166,5.73,7.0,86,23,57,3806,22.9,73.6,51.8
High Blood Pressure,Losartan,166,5.52,6.0,80,29,57,11365,68.5,69.4,48.2
Anxiety,Paroxetine,165,7.43,8.0,121,23,21,8623,52.3,87.6,73.3
Constipation,Magnesium Citrate,165,9.06,10.0,153,6,6,5499,33.3,96.0,92.7
Panic Disorde,Zoloft,164,7.88,9.0,131,16,17,7797,47.5,103.9,79.9
Pain,Nucynta,164,6.45,8.0,100,26,38,7005,42.7,78.9,61.0
Insomnia,Eszopiclone,162,6.0,7.0,85,21,56,3615,22.3,80.9,52.5
Major Depressive Disorde,Vortioxetine,161,6.5,8.0,96,19,46,4669,29.0,93.8,59.6
ADHD,Adderall,160,8.33,9.0,136,12,12,7186,44.9,83.9,85.0
Urinary Tract Infection,Ciprofloxacin,160,5.29,5.0,71,22,67,4797,30.0,72.7,44.4
Birth Control,Xulane,159,5.99,7.0,86,28,45,831,5.2,100.2,54.1
Herpes Simplex,Docosanol,159,6.03,8.0,91,9,59,1498,9.4,76.9,57.2
Pain,Dilaudid,159,8.48,10.0,136,9,14,3859,24.3,72.6,85.5
Herpes Simplex,Abreva,158,5.73,7.0,83,11,64,1850,11.7,76.6,52.5
Birth Control,Minastrin 24 Fe,156,5.11,5.0,62,25,69,1318,8.4,100.1,39.7
Hyperhidrosis,Hypercare,155,8.92,10.0,137,8,10,1144,7.4,91.5,88.4
High Blood Pressure,Amlodipine,153,4.88,4.0,58,23,72,10060,65.8,74.5,37.9
Obesity,Orlistat,153,7.63,9.0,117,12,24,8557,55.9,84.1,76.5
Social Anxiety Disorde,Sertraline,153,7.46,8.0,114,15,24,6955,45.5,98.5,74.5
Birth Control,Gildess Fe 1 / 20,153,4.59,4.0,48,30,75,943,6.2,90.6,31.4
ibromyalgia,Duloxetine,152,6.54,8.0,92,22,38,5841,38.4,77.4,60.5
Migraine,Rizatriptan,151,9.02,10.0,143,1,7,1463,9.7,73.9,94.7
Depression,Aripiprazole,151,6.97,8.0,99,19,33,10116,67.0,73.9,65.6
Major Depressive Disorde,Trintellix,151,6.3,8.0,86,19,46,5207,34.5,89.1,57.0
Birth Control,Kyleena,151,7.46,8.0,107,26,18,346,2.3,117.1,70.9
Bipolar Disorde,Abilify,150,6.17,7.0,86,21,43,3978,26.5,72.1,57.3
Depression,Wellbutrin Xl,149,7.8,9.0,117,14,18,8733,58.6,98.9,78.5
Anxiety,Mirtazapine,149,7.09,8.0,103,19,27,8448,56.7,89.3,69.1
Abnormal Uterine Bleeding,Ethinyl Estradiol / Norgestimate,148,4.46,3.0,49,20,79,1011,6.8,91.2,33.1
Hyperhidrosis,Drysol,148,9.12,10.0,138,3,7,1618,10.9,94.0,93.2
Cold Sores,Valacyclovir,148,9.21,10.0,136,5,7,2732,18.5,104.7,91.9
Smoking Cessation,Bupropion,147,8.31,10.0,119,14,14,4916,33.4,84.8,81.0
Anxiety and Stress,Prozac,147,7.65,9.0,113,17,17,13896,94.5,93.2,76.9
Urinary Tract Infection,Macrobid,147,4.76,4.0,55,20,72,3590,24.4,82.0,37.4
ibromyalgia,Cymbalta,146,6.44,8.0,88,18,40,5663,38.8,78.6,60.3
"Diabetes, Type 2",Canagliflozin,146,5.98,7.0,75,23,48,5311,36.4,85.8,51.4
Bladder Infection,Nitrofurantoin,146,4.56,4.0,49,28,69,3594,24.6,80.8,33.6
Anxiety,Venlafaxine,145,6.81,9.0,93,14,38,7266,50.1,95.0,64.1
Erectile Dysfunction,Sildenafil,144,8.53,10.0,124,7,13,7197,50.0,71.0,86.1
"Diabetes, Type 2",Invokana,143,6.11,7.0,77,21,45,5539,38.7,85.0,53.8
Birth Control,Orsythia,143,5.59,5.0,63,27,53,1512,10.6,91.3,44.1
Cough and Nasal Congestion,Guaifenesin / Pseudoephedrine,142,6.68,8.0,92,21,29,2095,14.8,64.3,64.8
Depression,Abilify,142,6.59,8.0,86,17,39,9754,68.7,76.8,60.6
Bowel Preparation,Moviprep,141,6.99,9.0,92,16,33,2501,17.7,95.0,65.2
"Onychomycosis, Toenail",Terbinafine,141,7.01,9.0,94,11,36,4623,32.8,93.7,66.7
Pain,Ketorolac,140,7.53,9.0,107,4,29,1896,13.5,63.6,76.4
Polycystic Ovary Syndrome,Metformin,136,7.82,8.0,104,26,6,5519,40.6,101.1,76.5
Depression,Paroxetine,136,6.66,8.0,82,18,36,4311,31.7,88.3,60.3
"Diabetes, Type 2",Bydureon,136,7.06,8.0,92,20,24,3377,24.8,94.0,67.6
Chronic Pain,Buprenorphine,136,5.93,7.0,74,17,45,3782,27.8,92.2,54.4
Pain,Oxymorphone,136,7.82,9.0,107,11,18,4748,34.9,82.2,78.7
Bipolar Disorde,Lithium,136,7.69,9.0,108,9,19,4980,36.6,81.5,79.4
Bipolar Disorde,Asenapine,135,7.37,9.0,99,10,26,4008,29.7,98.5,73.3
Pain,Oxycontin,134,8.8,9.5,119,11,4,10308,76.9,72.7,88.8
Muscle Spasm,Tizanidine,134,6.63,8.0,84,20,30,6624,49.4,64.9,62.7
Birth Control,Seasonique,133,6.09,7.0,68,30,35,1259,9.5,85.3,51.1
Depression,Effexor Xr,133,7.56,9.0,101,13,19,5111,38.4,88.2,75.9
Anxiety,Paxil,132,7.39,8.0,96,18,18,8321,63.0,83.2,72.7
Bipolar Disorde,Saphris,132,7.05,8.0,92,12,28,3773,28.6,96.6,69.7
Muscle Spasm,Carisoprodol,131,9.17,10.0,122,5,4,6757,51.6,66.2,93.1
Pain,Percocet,130,8.88,9.0,123,3,4,4332,33.3,67.5,94.6
Insomnia,Doxepin,130,6.45,8.0,77,9,44,5430,41.8,65.9,59.2
Back Pain,Acetaminophen / Hydrocodone,130,8.15,9.0,110,10,10,4345,33.4,62.3,84.6
Acne,Ethinyl Estradiol / Norethindrone,129,3.91,3.0,33,21,75,1052,8.2,92.3,25.6
Acne,Aczone,129,7.29,9.0,93,8,28,2035,15.8,92.8,72.1
Insomnia,Lunesta,128,6.48,8.0,73,17,38,3355,26.2,75.5,57.0
Bipolar Disorde,Divalproex Sodium,128,6.28,7.0,77,18,33,4531,35.4,81.5,60.2
Headache,Acetaminophen / Butalbital / Caffeine,127,8.89,10.0,113,5,9,3034,23.9,61.8,89.0
Acne,Dapsone,127,7.24,9.0,89,7,31,2153,17.0,91.2,70.1
Opiate Withdrawal,Clonidine,127,8.2,9.0,107,9,11,9275,73.0,87.1,84.3
Anxiety,Duloxetine,125,6.88,8.0,85,12,28,6482,51.9,91.2,68.0
Anxiety,Cymbalta,124,7.19,9.0,89,9,26,6998,56.4,94.4,71.8
Restless Legs Syndrome,Ropinirole,123,6.96,8.0,83,17,23,2588,21.0,77.6,67.5
Cough,Dextromethorphan,122,3.77,2.0,33,17,72,857,7.0,55.8,27.0
Opiate Withdrawal,Methadone,122,8.79,9.5,108,11,3,4426,36.3,78.2,88.5
Sinusitis,Amoxicillin / Clavulanate,122,5.24,5.0,53,18,51,2788,22.9,73.9,43.4
Insomnia,Mirtazapine,121,7.27,9.0,84,19,18,6265,51.8,88.4,69.4
Acne,Duac,120,7.55,9.0,89,14,17,1919,16.0,93.3,74.2
ADHD,Guanfacine,119,5.89,7.0,67,7,45,6287,52.8,100.5,56.3
Generalized Anxiety Disorde,Pregabalin,119,8.28,9.0,99,9,11,7021,59.0,90.3,83.2
Osteoarthritis,Diclofenac,118,8.32,10.0,99,5,14,5168,43.8,66.0,83.9
Panic Disorde,Xanax,118,9.19,10.0,110,5,3,6317,53.5,77.8,93.2
Pain,Morphine,118,8.03,9.0,100,8,10,4500,38.1,71.8,84.7
Birth Control,Ethinyl Estradiol / Norgestrel,118,5.67,6.0,57,21,40,963,8.2,92.1,48.3
Social Anxiety Disorde,Zoloft,116,7.72,9.0,91,7,18,6417,55.3,104.4,78.4
Osteoarthritis,Sodium Hyaluronate,116,6.53,8.5,69,14,33,4058,35.0,90.5,59.5
Cough and Nasal Congestion,Mucinex D,114,6.39,7.0,71,16,27,1813,15.9,65.7,62.3
Major Depressive Disorde,Bupropion,114,7.07,8.0,77,16,21,4182,36.7,100.9,67.5
Pain,Methadone,113,8.74,10.0,101,6,6,4700,41.6,74.7,89.4
Bipolar Disorde,Ziprasidone,113,5.34,6.0,54,11,48,2661,23.5,81.2,47.8
Birth Control,Drospirenone / Ethinyl Estradiol / Levomefolate Calcium,113,6.51,7.0,62,30,21,1185,10.5,91.0,54.9
Pain,Fentanyl,113,8.58,9.0,105,4,4,3073,27.2,78.8,92.9
Panic Disorde,Klonopin,113,9.0,10.0,105,1,7,6544,57.9,82.6,92.9
Pain,Amitriptyline,112,8.12,9.0,91,13,8,9625,85.9,82.3,81.2
Birth Control,Reclipsen,111,5.84,6.0,51,31,29,670,6.0,92.2,45.9
Obesity,Phentermine / Topiramate,110,8.45,10.0,94,7,9,4917,44.7,97.0,85.5
High Blood Pressure,Nebivolol,110,6.76,8.0,70,12,28,4800,43.6,84.4,63.6
Migraine Prevention,Nortriptyline,110,8.16,9.0,91,9,10,4283,38.9,95.5,82.7
Bipolar Disorde,Geodon,109,5.72,7.0,57,10,42,2926,26.8,81.5,52.3
Insomnia,Amitriptyline,109,7.11,9.0,76,12,21,6445,59.1,74.0,69.7
Muscle Spasm,Soma,109,9.07,10.0,102,1,6,7057,64.7,62.3,93.6
Alcohol Dependence,Acamprosate,109,8.9,10.0,99,5,5,6855,62.9,88.5,90.8
Irritable Bowel Syndrome,Linaclotide,108,7.26,9.0,79,5,24,3400,31.5,95.9,73.1
Back Pain,Tramadol,108,6.7,8.0,73,7,28,4245,39.3,66.1,67.6
Abnormal Uterine Bleeding,Ethinyl Estradiol / Levonorgestrel,108,4.39,3.0,29,24,55,671,6.2,100.3,26.9
Pain,Norco,108,7.94,9.0,88,9,11,4557,42.2,60.1,81.5
ADHD,Adderall Xr,107,8.14,9.0,88,13,6,3221,30.1,87.7,82.2
Muscle Spasm,Methocarbamol,107,5.87,7.0,55,18,34,4506,42.1,58.5,51.4
